Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
38.75,39.75,600.11,601.14,600.40,596.53,591.24,584.09,577.81,570.13,567.40,564.36,563.88,564.14,559.35,556.96,558.55,560.81,566.39,574.59,585.62,591.08,596.05
38.75,40.25,689.28,690.09,689.11,684.70,678.87,670.86,664.65,656.51,653.73,650.51,650.27,650.80,645.26,642.36,644.16,646.83,651.64,659.69,670.79,676.62,681.72
38.25,27.75,701.63,705.21,711.75,712.16,713.11,705.83,701.73,685.75,688.78,686.37,691.05,693.27,667.18,644.39,637.33,623.69,616.12,589.99,572.85,574.95,574.79
38.25,28.25,686.72,690.33,696.51,696.59,696.98,689.41,684.77,668.85,671.02,668.16,672.24,674.17,649.20,627.62,621.22,608.74,602.18,578.42,563.53,566.35,567.06
38.25,28.75,629.31,632.94,638.76,638.53,638.36,630.49,625.31,609.45,610.77,607.46,610.93,612.57,588.71,568.34,562.60,551.29,545.74,524.34,511.71,515.23,516.83
38.25,29.25,540.18,543.84,549.28,548.73,548.00,539.84,534.13,518.33,518.81,515.38,518.29,519.47,496.59,477.34,472.26,462.11,457.58,438.54,428.16,432.40,434.87
38.25,29.75,491.14,494.82,499.90,499.04,497.75,489.29,483.04,467.30,466.90,462.69,464.95,466.01,444.40,426.44,422.01,413.03,409.51,392.84,384.71,389.66,393.01
38.25,30.25,527.87,531.47,536.23,535.24,533.72,525.35,519.04,503.77,503.04,498.80,500.80,501.77,481.26,464.33,460.33,452.10,449.10,433.92,427.04,432.16,435.81
38.25,30.75,558.70,562.10,566.61,565.67,564.25,556.37,550.46,536.09,535.56,531.70,533.77,534.84,515.43,499.36,495.54,487.65,484.69,470.14,463.50,468.24,471.59
38.25,31.25,571.05,574.26,578.52,577.62,576.30,568.90,563.41,549.93,549.59,546.12,548.27,549.45,531.12,515.91,512.29,504.73,501.81,487.87,481.49,485.84,488.90
38.25,31.75,483.11,486.13,490.13,489.28,488.06,481.15,476.07,463.48,463.33,460.24,462.47,463.75,446.52,432.18,428.73,421.51,418.63,405.31,399.18,403.14,405.92
38.25,32.25,377.01,379.83,383.57,382.78,381.66,375.23,370.56,358.86,359.02,356.67,359.07,360.32,343.96,330.27,327.02,320.13,317.28,304.59,298.71,302.29,304.77
38.25,32.75,316.98,319.61,323.09,322.35,321.33,315.64,312.41,302.49,303.29,301.62,305.07,307.01,291.31,277.47,273.04,265.44,262.01,249.95,244.32,247.50,249.69
38.25,33.25,305.05,307.49,310.72,310.03,309.81,305.49,302.64,293.58,294.89,294.36,297.87,299.92,285.33,272.37,268.16,259.77,255.90,243.41,238.03,240.83,242.72
38.25,33.75,316.17,318.41,321.38,320.75,320.54,316.67,314.20,306.00,308.36,308.20,311.77,313.93,300.44,288.37,284.38,276.31,271.60,259.90,254.77,257.19,258.79
38.25,34.25,324.68,326.83,329.48,328.87,327.99,324.08,321.78,314.50,315.69,315.50,318.60,320.49,308.65,298.15,294.68,287.69,284.69,276.07,272.56,274.69,276.22
38.25,34.75,358.49,360.54,362.88,362.29,361.37,357.72,355.60,349.22,349.85,349.63,352.26,353.88,343.69,334.76,331.80,326.18,323.96,317.54,315.66,317.50,318.95
38.25,35.25,394.91,396.86,398.89,398.32,397.35,394.12,392.17,386.70,386.92,385.79,387.17,388.13,379.85,373.09,371.16,367.44,365.84,361.62,361.35,362.92,364.29
38.25,35.75,451.45,453.31,455.02,454.47,453.45,450.15,447.52,442.27,441.65,440.29,441.24,441.89,435.47,430.75,430.00,428.19,427.84,425.82,427.17,428.46,429.75
38.25,36.25,510.44,512.20,513.61,513.07,512.01,509.13,506.70,502.39,501.46,500.07,500.46,500.92,496.27,493.10,492.84,492.05,492.29,492.47,495.45,496.45,497.66
38.25,36.75,506.94,508.60,509.69,509.18,508.06,505.61,503.37,500.00,498.76,497.41,497.37,497.58,494.58,492.95,493.17,493.41,494.24,496.63,501.22,501.94,503.08
38.25,37.25,486.83,488.40,489.18,488.68,487.52,485.49,483.45,481.29,480.23,479.21,479.14,479.41,477.47,476.61,476.91,478.17,479.59,484.18,490.40,490.83,491.89
38.25,37.75,500.78,502.21,502.75,502.05,500.66,498.52,496.62,494.84,493.62,493.18,493.31,493.56,492.12,491.60,491.58,492.73,494.59,500.14,507.12,507.57,508.65
38.25,38.25,497.98,499.23,499.60,498.48,497.34,495.34,493.85,491.89,491.54,490.96,491.27,491.72,489.64,488.68,488.83,488.84,488.79,493.69,500.59,501.35,502.54
38.25,38.75,517.05,518.44,519.25,518.45,517.54,515.71,514.30,511.55,511.15,510.41,510.91,511.57,508.84,507.44,507.76,507.74,507.87,509.20,515.94,517.02,518.31
38.25,39.25,558.16,559.07,559.09,557.80,556.00,552.65,550.43,546.88,546.43,545.54,546.23,547.09,543.72,541.88,542.36,542.32,542.62,546.59,553.32,554.71,556.11
38.25,39.75,568.46,569.19,569.04,566.66,564.09,560.73,558.42,554.08,553.58,552.54,553.41,554.47,550.47,548.18,548.83,548.76,550.12,553.24,559.89,561.60,563.11
38.25,40.25,579.17,579.73,579.40,576.61,573.71,569.78,567.02,561.89,561.34,560.14,561.20,562.46,557.82,555.09,555.91,555.81,557.53,560.31,566.87,568.90,570.52
37.75,27.75,779.47,783.07,789.75,790.32,791.54,784.54,780.84,765.23,768.82,766.93,772.10,774.67,748.86,726.26,719.14,705.27,697.18,670.29,651.90,652.78,651.30
37.75,28.25,790.10,793.79,800.13,800.50,801.25,794.15,790.06,774.77,777.53,775.24,779.77,782.03,757.59,736.42,729.98,717.36,710.28,686.11,670.26,671.72,671.07
37.75,28.75,747.13,750.92,756.92,757.08,757.38,750.18,745.68,730.73,732.64,729.97,733.85,735.79,712.73,692.99,687.22,675.86,669.80,648.34,635.03,637.08,637.24
37.75,29.25,589.48,593.36,599.03,598.99,598.82,591.53,586.63,572.00,573.06,570.01,573.25,574.87,553.19,534.87,529.78,519.67,514.64,495.89,485.11,487.75,488.73
37.75,29.75,504.16,508.13,513.47,513.22,512.60,505.20,499.90,485.61,485.82,482.38,484.98,486.29,465.99,449.09,444.67,435.82,431.80,415.77,407.53,410.76,412.55
37.75,30.25,479.87,483.75,488.80,488.45,487.64,480.38,475.08,461.87,462.45,459.46,462.21,464.01,444.09,427.37,422.53,414.05,410.47,395.77,388.65,391.98,394.01
37.75,30.75,574.65,578.27,583.07,582.71,581.99,575.11,570.20,557.12,557.43,554.46,557.10,558.57,540.01,524.54,520.54,512.40,508.68,493.93,486.51,489.47,491.15
37.75,31.25,599.73,603.10,607.64,607.28,606.65,600.14,595.63,583.25,583.91,581.37,584.25,585.93,568.07,553.08,549.14,541.05,537.19,522.41,514.67,517.26,518.60
37.75,31.75,550.28,553.39,557.68,557.31,556.77,550.64,546.53,534.85,535.85,534.20,538.42,540.96,523.35,508.02,503.46,495.17,491.17,476.34,468.30,470.52,471.51
37.75,32.25,450.43,453.28,457.33,456.94,456.49,450.74,447.02,436.04,437.61,437.03,441.58,444.21,427.23,412.06,407.38,398.90,394.75,379.88,371.53,373.38,374.02
37.75,32.75,350.91,353.50,357.30,356.91,356.54,352.45,350.25,340.99,344.66,345.06,349.84,352.68,336.43,321.78,316.69,306.54,300.13,284.41,275.09,276.57,276.86
37.75,33.25,301.04,303.36,306.91,306.52,306.24,302.51,300.70,292.80,297.17,298.00,303.00,306.04,290.53,276.39,271.40,261.37,254.26,237.95,228.30,229.41,229.34
37.75,33.75,289.97,292.03,295.33,294.92,295.39,292.02,291.99,285.25,289.92,291.16,296.39,299.64,284.86,271.24,266.35,256.43,249.25,230.92,220.80,221.04,220.63
