Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
37.75,28.75,247.27,248.40,253.72,251.34,249.08,235.85,226.67,205.97,204.18,196.87,198.97,201.46,146.91,171.19,138.36,136.18,138.42,127.02,164.29,179.04,127.76
37.75,29.25,679.55,676.54,679.00,665.31,653.53,629.95,610.76,483.45,471.78,459.33,457.50,455.71,422.59,398.18,399.10,391.32,393.96,339.99,120.70,126.92,361.80
37.75,29.75,615.02,612.50,619.04,610.21,615.57,540.07,512.91,468.81,460.85,445.03,448.80,450.94,413.12,381.69,377.79,366.49,368.36,138.55,114.07,114.76,118.33
37.75,30.25,273.12,276.99,279.73,276.13,269.00,262.17,252.15,230.89,226.41,219.09,219.27,218.08,155.02,145.91,146.58,144.19,146.24,135.38,190.79,130.71,134.84
37.75,30.75,246.88,247.23,254.24,251.63,248.12,235.90,223.25,160.89,186.25,153.97,154.60,154.62,160.48,133.28,133.57,129.60,188.49,187.20,195.07,216.63,233.89
37.75,31.25,260.30,260.74,260.41,254.95,243.96,227.89,166.91,149.62,151.06,148.28,150.66,150.59,139.15,129.94,129.03,200.40,211.25,210.82,213.48,234.76,251.27
37.75,31.75,254.85,268.10,270.02,264.81,254.99,238.85,173.93,158.40,157.31,152.83,154.60,154.96,142.84,131.53,130.55,125.68,196.43,199.35,204.56,225.37,243.08
37.75,32.25,255.35,265.23,265.72,259.02,251.30,182.23,173.63,158.08,157.39,154.51,156.06,157.07,143.53,132.79,130.79,125.21,123.39,191.68,196.82,217.86,233.80
37.75,32.75,259.97,266.03,271.27,268.39,262.41,246.01,234.10,176.89,205.70,171.63,195.57,197.71,158.20,146.07,144.93,138.72,137.53,172.32,170.49,185.16,199.81
37.75,33.25,241.98,240.93,246.05,247.86,232.55,186.14,214.02,164.09,163.24,159.33,160.60,159.84,146.92,135.54,133.98,128.97,169.95,158.29,151.24,163.10,170.04
37.75,33.75,206.23,239.99,244.38,199.36,193.16,181.98,175.30,161.87,160.98,177.13,157.94,158.02,144.80,133.72,132.64,126.71,171.88,155.16,148.29,157.02,164.52
37.75,34.25,219.42,222.02,221.30,218.65,221.83,211.88,173.47,159.52,158.84,155.35,156.02,157.55,160.40,133.24,132.27,126.43,169.60,167.35,172.21,187.24,196.68
37.75,34.75,192.63,192.53,192.52,183.67,170.04,158.76,149.23,125.63,126.93,133.69,137.04,139.87,127.38,118.06,116.51,154.74,158.22,156.13,157.07,172.12,185.73
37.75,35.25,227.50,227.71,226.46,217.72,208.09,142.29,133.62,122.28,121.20,117.98,120.60,122.55,112.81,103.76,141.45,144.56,148.73,146.45,142.42,155.81,168.64
37.75,35.75,252.10,254.15,255.01,247.39,259.26,246.68,233.45,212.39,212.61,208.42,211.81,215.03,192.19,169.77,168.01,159.24,158.14,166.30,169.41,184.03,199.65
37.75,36.25,206.94,206.14,206.97,200.73,196.25,184.20,174.57,153.14,159.58,156.99,164.11,168.57,146.40,125.82,99.48,113.98,109.33,89.24,78.34,148.47,161.27
37.75,36.75,196.28,195.41,195.42,189.34,183.64,170.19,162.68,142.00,144.19,142.83,148.29,153.45,127.90,110.74,103.17,100.93,101.96,90.14,77.74,150.41,160.63
37.75,37.25,176.05,174.86,173.60,168.46,163.90,152.78,144.12,123.76,128.31,127.90,133.67,138.08,115.41,92.52,94.77,92.48,93.22,83.78,73.45,78.01,78.55
37.75,37.75,172.61,172.09,176.48,177.50,179.07,183.38,182.62,174.98,176.48,171.64,164.48,163.00,147.43,81.61,122.37,113.70,110.08,94.65,73.28,80.17,83.07
37.75,38.25,237.30,238.60,242.98,253.13,251.30,244.04,237.19,224.46,225.28,222.13,222.07,219.74,202.80,185.57,180.52,169.24,166.08,148.66,96.23,106.21,112.53
37.75,38.75,262.93,275.03,279.17,279.44,278.50,266.45,260.12,244.50,242.96,238.57,238.86,236.86,215.48,197.66,190.47,181.84,177.41,110.42,108.69,116.48,124.11
37.75,39.25,282.74,283.15,288.30,286.25,284.56,274.65,267.30,252.04,249.37,245.94,246.35,244.35,222.22,203.30,197.51,187.91,185.42,162.44,112.52,121.37,127.39
37.75,39.75,280.62,281.47,283.06,281.07,278.38,267.28,258.59,239.14,238.30,235.47,236.37,237.79,215.75,197.17,195.30,182.59,179.68,154.13,108.43,116.04,122.43
37.75,40.25,279.61,280.01,285.70,284.88,279.76,268.57,259.96,241.96,241.74,235.98,236.86,236.52,215.96,199.63,195.59,185.07,182.15,158.71,109.77,118.31,124.69
37.25,27.75,213.61,215.55,217.81,213.13,205.46,193.93,182.15,166.44,161.80,155.27,153.98,152.59,137.32,175.04,172.44,157.22,152.40,118.46,108.27,115.54,122.41
37.25,28.25,166.11,159.18,155.99,149.72,144.52,193.92,184.75,237.66,237.58,233.07,236.34,239.80,214.19,193.73,191.47,130.98,132.54,123.15,115.98,123.31,129.02
37.25,28.75,265.74,269.43,273.25,270.43,266.71,253.10,241.55,218.93,219.79,214.65,217.69,220.53,201.74,182.51,138.82,135.75,138.52,127.06,117.53,125.04,129.03
37.25,29.25,227.13,228.11,230.54,227.81,226.76,214.12,204.59,170.81,182.81,163.28,162.90,163.15,150.78,140.76,139.46,135.31,135.67,188.02,191.27,205.25,217.52
37.25,29.75,272.15,282.64,284.45,277.88,270.78,255.05,240.21,172.16,171.48,181.02,185.85,186.87,172.84,142.30,141.81,136.03,216.83,214.45,219.47,238.71,253.94
37.25,30.25,239.85,240.29,243.18,242.15,237.45,196.87,217.65,171.68,197.69,191.65,192.60,192.74,150.55,140.41,140.28,137.55,139.17,180.49,187.49,205.52,219.26
37.25,30.75,227.00,229.27,230.97,224.98,217.48,204.63,258.48,236.06,233.04,226.00,224.83,224.67,197.56,141.19,140.17,137.81,140.58,131.12,122.48,130.81,135.54
37.25,31.25,224.09,227.06,229.55,224.22,221.72,208.83,197.37,155.66,153.04,148.24,148.92,149.68,137.56,127.02,126.50,123.53,170.17,174.01,180.02,196.72,213.17
37.25,31.75,177.63,181.74,180.93,175.59,169.30,157.11,148.50,135.28,132.44,129.37,130.94,132.59,121.66,113.36,113.22,152.64,161.41,162.17,163.87,180.66,195.03
37.25,32.25,211.09,209.35,212.39,191.29,185.68,174.55,165.82,150.79,149.52,146.97,157.67,159.30,137.27,126.27,124.74,170.25,177.34,177.69,180.94,198.82,211.86
37.25,32.75,256.45,259.87,267.90,260.93,256.19,194.06,186.01,170.92,171.06,167.41,168.52,187.83,154.70,142.30,140.45,133.85,131.22,108.48,185.61,201.35,214.35
37.25,33.25,206.03,205.88,205.66,214.64,210.84,204.31,175.99,162.61,160.72,157.41,157.55,157.97,145.15,133.56,131.74,127.39,157.33,153.12,152.97,164.91,176.98
37.25,33.75,185.52,182.74,182.98,175.88,168.66,158.07,148.45,136.15,136.21,134.78,136.27,137.46,125.13,115.32,114.18,108.39,142.36,86.80,68.30,145.88,156.77
37.25,34.25,193.76,193.57,187.65,184.38,174.30,161.51,152.06,104.00,105.45,102.81,104.17,106.92,95.98,85.60,84.07,74.39,69.14,53.51,37.30,35.48,182.20
37.25,34.75,201.45,200.74,205.98,204.06,199.77,189.85,182.20,70.15,164.99,64.66,63.04,63.60,58.73,54.78,54.75,53.82,55.22,49.49,121.95,130.79,138.95
